,Type,Air temperature [°C],Process temperature [°C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference [°C]
69,L,26.75,36.85000000000002,1410,65.7,191,1,0,0,1,1,0,10.100000000000023
70,M,26.75,36.85000000000002,1924,22.6,193,0,0,0,0,0,0,10.100000000000023
71,L,26.75,36.950000000000045,1452,45.5,196,0,0,0,0,0,0,10.200000000000045
72,L,26.75,36.950000000000045,1369,44.4,198,0,0,0,0,0,0,10.200000000000045
73,L,26.850000000000023,36.950000000000045,1592,35.0,200,0,0,0,0,0,0,10.100000000000023
74,L,26.75,36.85000000000002,1601,32.3,202,0,0,0,0,0,0,10.100000000000023
75,L,26.650000000000034,36.75,1379,46.7,204,0,0,0,0,0,0,10.099999999999966
76,L,26.650000000000034,36.75,1461,47.9,206,0,0,0,0,0,0,10.099999999999966
77,L,26.650000000000034,36.75,1455,41.3,208,1,1,0,0,0,0,10.099999999999966
78,L,26.650000000000034,36.75,1398,51.5,0,0,0,0,0,0,0,10.099999999999966
79,L,26.650000000000034,36.75,1402,37.9,2,0,0,0,0,0,0,10.099999999999966
80,H,26.650000000000034,36.650000000000034,1445,49.9,4,0,0,0,0,0,0,10.0
81,L,26.75,36.75,1450,47.5,9,0,0,0,0,0,0,10.0
82,L,26.75,36.75,1453,40.8,11,0,0,0,0,0,0,10.0
83,L,26.850000000000023,36.85000000000002,1469,40.1,13,0,0,0,0,0,0,10.0
84,L,26.75,36.75,1422,47.6,15,0,0,0,0,0,0,10.0
85,M,26.850000000000023,36.85000000000002,1804,26.8,17,0,0,0,0,0,0,10.0
86,H,26.850000000000023,36.85000000000002,1436,43.9,20,0,0,0,0,0,0,10.0
87,L,26.850000000000023,36.85000000000002,1544,31.8,25,0,0,0,0,0,0,10.0
88,M,26.850000000000023,36.85000000000002,1419,45.2,27,0,0,0,0,0,0,10.0
89,M,26.75,36.75,1487,39.5,30,0,0,0,0,0,0,10.0
90,L,26.75,36.75,1753,25.8,33,0,0,0,0,0,0,10.0
91,L,26.75,36.75,1830,24.9,35,0,0,0,0,0,0,10.0
92,M,26.75,36.75,1727,27.1,37,0,0,0,0,0,0,10.0
93,L,26.950000000000045,36.85000000000002,1450,43.0,40,0,0,0,0,0,0,9.899999999999977
94,L,26.850000000000023,36.75,1622,31.9,42,0,0,0,0,0,0,9.899999999999977
95,M,26.850000000000023,36.85000000000002,1351,52.2,44,0,0,0,0,0,0,10.0
96,M,26.850000000000023,36.85000000000002,1575,35.3,47,0,0,0,0,0,0,10.0
97,M,26.75,36.75,1750,29.9,50,0,0,0,0,0,0,10.0
98,L,26.75,36.650000000000034,1529,32.7,53,0,0,0,0,0,0,9.900000000000034
99,L,26.650000000000034,36.650000000000034,1523,44.4,55,0,0,0,0,0,0,10.0
100,L,26.650000000000034,36.75,1852,25.0,57,0,0,0,0,0,0,10.099999999999966
101,L,26.650000000000034,36.650000000000034,1991,20.7,59,0,0,0,0,0,0,10.0
102,L,26.650000000000034,36.650000000000034,1555,40.6,61,0,0,0,0,0,0,10.0
103,M,26.650000000000034,36.650000000000034,1441,40.5,63,0,0,0,0,0,0,10.0
104,L,26.650000000000034,36.55000000000001,1450,43.4,66,0,0,0,0,0,0,9.899999999999977
105,L,26.650000000000034,36.55000000000001,1591,31.1,68,0,0,0,0,0,0,9.899999999999977
106,L,26.650000000000034,36.55000000000001,1445,48.5,70,0,0,0,0,0,0,9.899999999999977
107,M,26.650000000000034,36.650000000000034,1497,46.8,72,0,0,0,0,0,0,10.0
108,H,26.75,36.650000000000034,1621,32.7,75,0,0,0,0,0,0,9.900000000000034
109,L,26.75,36.55000000000001,1572,34.1,80,0,0,0,0,0,0,9.800000000000011
110,L,26.650000000000034,36.450000000000045,1872,22.5,82,0,0,0,0,0,0,9.800000000000011
111,H,26.55000000000001,36.450000000000045,1499,43.5,84,0,0,0,0,0,0,9.900000000000034
112,M,26.650000000000034,36.55000000000001,1498,39.5,89,0,0,0,0,0,0,9.899999999999977
113,M,26.650000000000034,36.450000000000045,1486,41.9,92,0,0,0,0,0,0,9.800000000000011
114,L,26.650000000000034,36.450000000000045,1680,29.4,95,0,0,0,0,0,0,9.800000000000011
115,L,26.650000000000034,36.450000000000045,1431,45.7,97,0,0,0,0,0,0,9.800000000000011
116,L,26.75,36.55000000000001,1564,34.1,99,0,0,0,0,0,0,9.800000000000011
117,L,26.650000000000034,36.450000000000045,1599,33.0,101,0,0,0,0,0,0,9.800000000000011
118,M,26.650000000000034,36.450000000000045,1707,28.1,103,0,0,0,0,0,0,9.800000000000011
119,L,26.55000000000001,36.35000000000002,1467,40.7,106,0,0,0,0,0,0,9.800000000000011
120,L,26.75,36.55000000000001,1433,44.7,108,0,0,0,0,0,0,9.800000000000011
121,L,26.75,36.55000000000001,1558,41.2,110,0,0,0,0,0,0,9.800000000000011
122,L,26.850000000000023,36.650000000000034,1310,50.7,112,0,0,0,0,0,0,9.800000000000011
123,L,26.75,36.55000000000001,1546,43.4,114,0,0,0,0,0,0,9.800000000000011
124,L,26.75,36.55000000000001,1727,29.4,116,0,0,0,0,0,0,9.800000000000011
125,L,26.75,36.450000000000045,1560,32.2,118,0,0,0,0,0,0,9.700000000000045
126,L,26.850000000000023,36.450000000000045,1329,60.5,120,0,0,0,0,0,0,9.600000000000023
127,L,26.75,36.450000000000045,1413,46.5,122,0,0,0,0,0,0,9.700000000000045
128,L,26.850000000000023,36.450000000000045,1587,38.6,124,0,0,0,0,0,0,9.600000000000023
129,L,26.75,36.35000000000002,1559,34.3,126,0,0,0,0,0,0,9.600000000000023
130,L,26.650000000000034,36.25,1473,41.1,128,0,0,0,0,0,0,9.599999999999966
131,L,26.650000000000034,36.25,1737,27.7,130,0,0,0,0,0,0,9.599999999999966
132,M,26.55000000000001,36.25,1441,43.2,132,0,0,0,0,0,0,9.699999999999989
133,M,26.55000000000001,36.25,1430,49.6,135,0,0,0,0,0,0,9.699999999999989
134,L,26.650000000000034,36.25,1369,53.0,138,0,0,0,0,0,0,9.599999999999966
135,M,26.650000000000034,36.35000000000002,1711,28.5,140,0,0,0,0,0,0,9.699999999999989
136,H,26.55000000000001,36.35000000000002,1420,45.7,143,0,0,0,0,0,0,9.800000000000011
137,L,26.55000000000001,36.450000000000045,1297,55.3,148,0,0,0,0,0,0,9.900000000000034
138,H,26.650000000000034,36.450000000000045,1449,49.4,150,0,0,0,0,0,0,9.800000000000011
139,L,26.650000000000034,36.450000000000045,1268,55.8,155,0,0,0,0,0,0,9.800000000000011
140,L,26.650000000000034,36.450000000000045,1511,36.1,157,0,0,0,0,0,0,9.800000000000011
141,L,26.55000000000001,36.35000000000002,1544,35.2,159,0,0,0,0,0,0,9.800000000000011
142,M,26.450000000000045,36.25,1778,28.2,161,0,0,0,0,0,0,9.799999999999955
143,H,26.450000000000045,36.25,1407,50.5,164,0,0,0,0,0,0,9.799999999999955
144,M,26.450000000000045,36.25,1391,42.4,169,0,0,0,0,0,0,9.799999999999955
145,L,26.350000000000023,36.25,1513,33.6,172,0,0,0,0,0,0,9.899999999999977
146,H,26.350000000000023,36.25,1612,36.1,174,0,0,0,0,0,0,9.899999999999977
147,L,26.25,36.25,1515,40.1,179,0,0,0,0,0,0,10.0
148,M,26.150000000000034,36.150000000000034,1379,48.0,181,0,0,0,0,0,0,10.0
149,L,26.25,36.150000000000034,1473,39.9,184,0,0,0,0,0,0,9.900000000000034
150,L,26.25,36.150000000000034,1422,42.7,186,0,0,0,0,0,0,9.900000000000034
151,M,26.25,36.05000000000001,1463,37.6,188,0,0,0,0,0,0,9.800000000000011
152,M,26.25,36.05000000000001,1584,41.0,191,0,0,0,0,0,0,9.800000000000011
153,L,26.25,36.05000000000001,1850,27.0,194,0,0,0,0,0,0,9.800000000000011
154,L,26.25,36.05000000000001,1528,36.2,196,0,0,0,0,0,0,9.800000000000011
155,H,26.25,36.05000000000001,1987,19.8,198,0,0,0,0,0,0,9.800000000000011
156,M,26.25,35.950000000000045,1495,46.0,203,0,0,0,0,0,0,9.700000000000045
157,H,26.25,36.05000000000001,1478,43.5,206,0,0,0,0,0,0,9.800000000000011
158,M,26.25,36.05000000000001,1499,40.0,211,0,0,0,0,0,0,9.800000000000011
159,L,26.25,36.05000000000001,1471,47.0,214,0,0,0,0,0,0,9.800000000000011
160,L,26.25,36.05000000000001,1282,60.7,216,1,0,0,0,1,0,9.800000000000011
161,L,26.150000000000034,35.950000000000045,1412,52.3,218,1,0,0,0,1,0,9.800000000000011
162,L,26.150000000000034,35.950000000000045,1586,35.5,0,0,0,0,0,0,0,9.800000000000011
163,M,26.25,36.05000000000001,1468,43.8,2,0,0,0,0,0,0,9.800000000000011
164,M,26.350000000000023,36.150000000000034,1440,43.6,5,0,0,0,0,0,0,9.800000000000011
165,L,26.350000000000023,36.25,1733,26.0,8,0,0,0,0,0,0,9.899999999999977
166,H,26.25,36.05000000000001,1612,32.6,10,0,0,0,0,0,0,9.800000000000011
167,H,26.25,36.150000000000034,1458,42.9,15,0,0,0,0,0,0,9.900000000000034
168,L,26.25,36.150000000000034,1433,62.3,20,1,0,0,1,0,0,9.900000000000034
169,L,26.25,36.150000000000034,1318,59.1,22,0,0,0,0,0,0,9.900000000000034
170,M,26.25,36.05000000000001,1610,35.0,24,0,0,0,0,0,0,9.800000000000011
171,L,26.05000000000001,35.950000000000045,1462,50.8,27,0,0,0,0,0,0,9.900000000000034
172,M,25.950000000000045,35.85000000000002,1924,20.8,29,0,0,0,0,0,0,9.899999999999977
173,M,26.05000000000001,35.85000000000002,1591,33.7,32,0,0,0,0,0,0,9.800000000000011
174,L,26.05000000000001,35.950000000000045,1306,58.3,35,0,0,0,0,0,0,9.900000000000034
175,L,26.05000000000001,35.950000000000045,1382,43.5,37,0,0,0,0,0,0,9.900000000000034
176,L,26.05000000000001,35.950000000000045,1618,34.7,39,0,0,0,0,0,0,9.900000000000034
177,L,26.05000000000001,36.05000000000001,1988,21.4,41,0,0,0,0,0,0,10.0
178,L,26.05000000000001,36.05000000000001,1436,50.2,43,0,0,0,0,0,0,10.0
179,L,26.05000000000001,36.150000000000034,1304,49.8,45,0,0,0,0,0,0,10.100000000000023
180,L,26.05000000000001,36.150000000000034,1475,49.9,47,0,0,0,0,0,0,10.100000000000023
181,H,26.05000000000001,36.150000000000034,1824,24.2,49,0,0,0,0,0,0,10.100000000000023
182,M,25.950000000000045,36.05000000000001,1342,48.1,54,0,0,0,0,0,0,10.099999999999966
183,L,25.950000000000045,36.05000000000001,1485,40.7,57,0,0,0,0,0,0,10.099999999999966
184,L,26.05000000000001,36.05000000000001,1667,30.6,59,0,0,0,0,0,0,10.0
185,L,26.05000000000001,36.05000000000001,1446,38.2,61,0,0,0,0,0,0,10.0
186,L,25.950000000000045,36.150000000000034,1301,56.0,63,0,0,0,0,0,0,10.199999999999989
187,L,26.05000000000001,36.25,1379,43.1,65,0,0,0,0,0,0,10.199999999999989
188,L,26.150000000000034,36.35000000000002,1606,33.6,67,0,0,0,0,0,0,10.199999999999989
189,M,26.150000000000034,36.25,1539,43.4,69,0,0,0,0,0,0,10.099999999999966
190,L,26.05000000000001,36.25,1477,49.9,72,0,0,0,0,0,0,10.199999999999989
191,L,26.05000000000001,36.25,1666,34.6,74,0,0,0,0,0,0,10.199999999999989
192,H,26.05000000000001,36.25,1398,51.8,76,0,0,0,0,0,0,10.199999999999989
193,H,26.05000000000001,36.25,1678,34.6,81,0,0,0,0,0,0,10.199999999999989
194,M,26.05000000000001,36.35000000000002,2678,10.7,86,1,0,0,1,0,0,10.300000000000011
195,L,26.150000000000034,36.35000000000002,1453,42.9,89,0,0,0,0,0,0,10.199999999999989
196,H,26.150000000000034,36.450000000000045,1432,49.5,91,0,0,0,0,0,0,10.300000000000011
197,M,26.25,36.450000000000045,1527,40.9,96,0,0,0,0,0,0,10.200000000000045
198,L,26.25,36.55000000000001,1588,35.0,99,0,0,0,0,0,0,10.300000000000011
199,L,26.25,36.450000000000045,1433,47.1,101,0,0,0,0,0,0,10.200000000000045
200,L,26.25,36.450000000000045,1609,35.0,103,0,0,0,0,0,0,10.200000000000045
201,L,26.150000000000034,36.35000000000002,1575,41.2,105,0,0,0,0,0,0,10.199999999999989
202,M,26.25,36.35000000000002,1636,35.7,107,0,0,0,0,0,0,10.100000000000023
203,L,26.25,36.35000000000002,1490,37.9,110,0,0,0,0,0,0,10.100000000000023
204,L,26.25,36.35000000000002,1741,32.8,112,0,0,0,0,0,0,10.100000000000023
205,M,26.350000000000023,36.450000000000045,1344,53.0,114,0,0,0,0,0,0,10.100000000000023
206,L,26.350000000000023,36.55000000000001,1609,35.3,117,0,0,0,0,0,0,10.199999999999989
207,M,26.25,36.55000000000001,1421,60.7,119,1,0,0,1,0,0,10.300000000000011
208,L,26.25,36.450000000000045,1591,36.7,122,0,0,0,0,0,0,10.200000000000045
209,L,26.25,36.450000000000045,1477,44.0,124,0,0,0,0,0,0,10.200000000000045
210,L,26.25,36.55000000000001,1523,36.1,126,0,0,0,0,0,0,10.300000000000011
211,L,26.350000000000023,36.55000000000001,1575,33.9,128,0,0,0,0,0,0,10.199999999999989
212,H,26.25,36.55000000000001,1344,52.9,130,0,0,0,0,0,0,10.300000000000011
213,L,26.25,36.55000000000001,1386,44.9,135,0,0,0,0,0,0,10.300000000000011
214,M,26.150000000000034,36.450000000000045,1589,37.1,137,0,0,0,0,0,0,10.300000000000011
215,L,26.150000000000034,36.450000000000045,1548,40.3,140,0,0,0,0,0,0,10.300000000000011
216,L,26.150000000000034,36.450000000000045,1499,38.3,142,0,0,0,0,0,0,10.300000000000011
217,L,26.150000000000034,36.35000000000002,1664,31.6,144,0,0,0,0,0,0,10.199999999999989
218,L,26.150000000000034,36.450000000000045,1447,38.1,146,0,0,0,0,0,0,10.300000000000011
219,M,26.150000000000034,36.35000000000002,1434,46.2,148,0,0,0,0,0,0,10.199999999999989
220,L,26.150000000000034,36.35000000000002,1416,52.7,151,0,0,0,0,0,0,10.199999999999989
221,H,26.25,36.35000000000002,1827,24.3,153,0,0,0,0,0,0,10.100000000000023
222,L,26.25,36.450000000000045,1304,45.0,158,0,0,0,0,0,0,10.200000000000045
223,L,26.25,36.450000000000045,1569,34.4,160,0,0,0,0,0,0,10.200000000000045
224,L,26.150000000000034,36.450000000000045,1584,29.3,162,0,0,0,0,0,0,10.300000000000011
225,L,26.150000000000034,36.35000000000002,1362,53.8,164,0,0,0,0,0,0,10.199999999999989
226,L,26.150000000000034,36.25,1329,49.2,166,0,0,0,0,0,0,10.099999999999966
227,L,26.150000000000034,36.35000000000002,1539,36.1,168,0,0,0,0,0,0,10.199999999999989
228,M,26.150000000000034,36.35000000000002,1629,37.1,170,0,0,0,0,0,0,10.199999999999989
229,L,26.150000000000034,36.35000000000002,1538,32.2,173,0,0,0,0,0,0,10.199999999999989
230,L,26.150000000000034,36.450000000000045,1570,34.8,175,0,0,0,0,0,0,10.300000000000011
231,L,26.150000000000034,36.25,1408,43.1,177,0,0,0,0,0,0,10.099999999999966
232,L,26.05000000000001,36.25,1424,47.6,179,0,0,0,0,0,0,10.199999999999989
233,L,26.05000000000001,36.25,1512,34.9,181,0,0,0,0,0,0,10.199999999999989
234,L,26.05000000000001,36.25,1478,42.9,183,0,0,0,0,0,0,10.199999999999989
235,M,25.950000000000045,36.150000000000034,1680,33.7,185,0,0,0,0,0,0,10.199999999999989
236,L,25.950000000000045,36.150000000000034,1495,38.7,188,0,0,0,0,0,0,10.199999999999989
237,M,25.850000000000023,35.950000000000045,1552,36.6,190,0,0,0,0,0,0,10.100000000000023
238,L,25.75,35.950000000000045,1393,50.3,193,0,0,0,0,0,0,10.200000000000045
239,L,25.850000000000023,36.05000000000001,1611,30.6,195,0,0,0,0,0,0,10.199999999999989
240,M,25.850000000000023,35.950000000000045,1339,51.6,197,0,0,0,0,0,0,10.100000000000023
241,L,25.850000000000023,35.950000000000045,1777,24.3,200,0,0,0,0,0,0,10.100000000000023
242,L,25.850000000000023,36.05000000000001,1348,58.8,202,1,0,0,0,1,0,10.199999999999989
243,L,25.850000000000023,36.05000000000001,1442,44.1,204,0,0,0,0,0,0,10.199999999999989
244,M,25.850000000000023,36.05000000000001,1395,49.1,206,0,0,0,0,0,0,10.199999999999989
245,M,25.75,35.950000000000045,1627,31.4,209,0,0,0,0,0,0,10.200000000000045
246,L,25.75,35.950000000000045,1585,33.5,212,0,0,0,0,0,0,10.200000000000045
247,L,25.850000000000023,36.05000000000001,1469,45.5,214,0,0,0,0,0,0,10.199999999999989
248,L,25.850000000000023,36.150000000000034,1362,56.8,216,1,0,0,0,1,0,10.300000000000011
249,L,25.850000000000023,36.150000000000034,1405,56.2,218,1,0,0,0,1,0,10.300000000000011
250,L,25.850000000000023,36.150000000000034,1662,32.7,0,0,0,0,0,0,0,10.300000000000011
251,M,25.850000000000023,36.05000000000001,1466,42.6,2,0,0,0,0,0,0,10.199999999999989
252,L,25.850000000000023,36.05000000000001,1620,35.8,5,0,0,0,0,0,0,10.199999999999989
253,L,25.850000000000023,36.05000000000001,1357,48.2,7,0,0,0,0,0,0,10.199999999999989
254,L,25.850000000000023,36.05000000000001,1514,37.9,9,0,0,0,0,0,0,10.199999999999989
255,L,25.850000000000023,36.05000000000001,1489,40.4,11,0,0,0,0,0,0,10.199999999999989
256,L,25.950000000000045,36.150000000000034,1331,63.0,13,0,0,0,0,0,0,10.199999999999989
257,L,25.850000000000023,35.85000000000002,1615,29.5,15,0,0,0,0,0,0,10.0
258,L,25.950000000000045,36.05000000000001,1482,37.9,17,0,0,0,0,0,0,10.099999999999966
259,M,25.950000000000045,36.05000000000001,1420,63.9,19,1,0,0,1,0,0,10.099999999999966
260,M,26.05000000000001,36.150000000000034,1522,49.1,22,0,0,0,0,0,0,10.100000000000023
261,L,25.950000000000045,36.05000000000001,1654,32.1,25,0,0,0,0,0,0,10.099999999999966
262,M,25.950000000000045,36.05000000000001,1736,26.8,27,0,0,0,0,0,0,10.099999999999966
263,M,25.850000000000023,35.950000000000045,1587,32.3,30,0,0,0,0,0,0,10.100000000000023
264,L,25.950000000000045,36.05000000000001,1390,47.5,33,0,0,0,0,0,0,10.099999999999966
265,L,25.850000000000023,35.950000000000045,1454,37.1,35,0,0,0,0,0,0,10.100000000000023
266,H,25.850000000000023,35.950000000000045,1440,43.7,37,0,0,0,0,0,0,10.100000000000023
267,L,25.75,35.85000000000002,1954,21.1,42,0,0,0,0,0,0,10.100000000000023
268,H,25.75,35.85000000000002,1800,24.8,44,0,0,0,0,0,0,10.100000000000023
269,L,25.850000000000023,35.85000000000002,1524,37.0,49,0,0,0,0,0,0,10.0
270,H,25.850000000000023,35.85000000000002,1520,39.6,51,0,0,0,0,0,0,10.0
271,M,25.950000000000045,35.950000000000045,1452,40.8,56,0,0,0,0,0,0,10.0
272,L,25.950000000000045,35.950000000000045,1484,40.4,59,0,0,0,0,0,0,10.0
273,L,25.950000000000045,35.85000000000002,1426,46.0,61,0,0,0,0,0,0,9.899999999999977
274,L,25.950000000000045,35.85000000000002,1652,28.5,63,0,0,0,0,0,0,9.899999999999977
275,L,25.850000000000023,35.85000000000002,1401,54.7,65,0,0,0,0,0,0,10.0
276,M,25.850000000000023,35.75,1750,26.6,67,0,0,0,0,0,0,9.899999999999977
277,H,25.850000000000023,35.85000000000002,1479,50.7,70,0,0,0,0,0,0,10.0
278,M,25.850000000000023,35.85000000000002,1620,29.4,75,0,0,0,0,0,0,10.0
279,L,25.850000000000023,35.950000000000045,1819,23.4,78,0,0,0,0,0,0,10.100000000000023
280,M,25.950000000000045,35.950000000000045,1456,43.7,80,0,0,0,0,0,0,10.0
281,L,25.950000000000045,35.85000000000002,1626,36.5,83,0,0,0,0,0,0,9.899999999999977
282,M,25.950000000000045,35.950000000000045,1390,49.8,85,0,0,0,0,0,0,10.0
283,L,26.05000000000001,36.05000000000001,1469,43.0,88,0,0,0,0,0,0,10.0
284,L,26.05000000000001,36.150000000000034,2051,19.2,90,0,0,0,0,0,0,10.100000000000023
285,L,26.05000000000001,36.150000000000034,1568,36.0,92,0,0,0,0,0,0,10.100000000000023
286,L,26.05000000000001,36.150000000000034,1589,33.2,94,0,0,0,0,0,0,10.100000000000023
287,L,26.05000000000001,36.150000000000034,1805,31.6,96,0,0,0,0,0,0,10.100000000000023
288,H,26.05000000000001,36.25,1385,42.2,98,0,0,0,0,0,0,10.199999999999989
289,L,25.950000000000045,36.25,1436,46.7,103,0,0,0,0,0,0,10.299999999999955
290,L,25.950000000000045,36.25,1438,45.6,105,0,0,0,0,0,0,10.299999999999955
291,L,25.850000000000023,36.150000000000034,1473,42.6,107,0,0,0,0,0,0,10.300000000000011
292,L,25.950000000000045,36.25,1335,40.2,109,0,0,0,0,0,0,10.299999999999955
293,H,25.950000000000045,36.35000000000002,1392,44.8,111,0,0,0,0,0,0,10.399999999999977
294,M,25.950000000000045,36.35000000000002,1372,51.1,116,0,0,0,0,0,0,10.399999999999977
295,M,25.950000000000045,36.450000000000045,1716,30.7,119,0,0,0,0,0,0,10.5
296,L,25.850000000000023,36.35000000000002,1395,46.2,122,0,0,0,0,0,0,10.5
